Ice,category,Product Name,Milk,Whip,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Caffeine
Ice,Espresso,Starbucks Doubleshot on Ice,Coconut,,70,1.5,1.5,0,0,30,13,0,12,1,0 ,0 ,0 ,0 ,150
Hot,Espresso,White Chocolate Mocha,Nonfat,No Whip,270,4.5,3.5,0,10,180,46,0,45,11,15 ,2 ,35 ,0 ,75
Hot,Espresso,White Chocolate Mocha,Nonfat,Whip,330,10,7,0.2,30,190,48,0,46,12,20 ,2 ,35 ,0 ,75
Hot,Espresso,White Chocolate Mocha,2%,No Whip,300,9,6,0.1,25,190,46,0,44,11,15 ,2 ,35 ,0 ,75
Hot,Espresso,White Chocolate Mocha,2%,Whip,370,15,10,0.3,45,200,47,0,46,11,20 ,2 ,35 ,0 ,75
Hot,Espresso,White Chocolate Mocha,Whole,No Whip,330,12,8,0.2,30,180,46,0,44,11,10 ,2 ,35 ,0 ,75
Hot,Espresso,White Chocolate Mocha,Whole,Whip,390,18,12,0.4,50,190,47,0,46,11,20 ,2 ,35 ,0 ,75
Hot,Espresso,White Chocolate Mocha,Soy,No Whip,280,8,4,0,5,170,41,1,38,10,10 ,2 ,35 ,10 ,75
Hot,Espresso,White Chocolate Mocha,Soy,Whip,340,14,8,0.2,25,170,43,1,40,10,15 ,2 ,35 ,10 ,75
Hot,Espresso,White Chocolate Mocha,Coconut,No Whip,270,10,9,0,5,180,42,0,41,4,0 ,2 ,10 ,0 ,75
Hot,Espresso,White Chocolate Mocha,Coconut,Whip,330,16,12,0.2,25,180,44,0,43,4,6 ,2 ,10 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,Nonfat,No Whip,230,4.5,3.5,0,5,135,41,0,40,8,8 ,2 ,25 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,Nonfat,Whip,310,12,8,0.2,35,150,43,0,41,8,15 ,2 ,25 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,2%,No Whip,250,7,5,0.1,15,140,41,0,39,8,8 ,2 ,25 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,2%,Whip,330,15,10,0.3,45,150,43,0,41,8,15 ,2 ,25 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,Whole,No Whip,270,9,6,0.1,15,140,41,0,39,7,6 ,2 ,25 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,Whole,Whip,350,17,11,0.4,45,150,43,0,41,8,15 ,2 ,25 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,Soy,No Whip,240,6,3.5,0,5,130,38,1,36,7,6 ,2 ,25 ,8 ,75
Ice,Espresso,Iced White Chocolate Mocha,Soy,Whip,320,14,9,0.2,35,140,41,1,38,7,15 ,2 ,25 ,8 ,75
Ice,Espresso,Iced White Chocolate Mocha,Coconut,No Whip,230,7,6,0,5,135,39,0,37,3,0 ,2 ,10 ,0 ,75
Ice,Espresso,Iced White Chocolate Mocha,Coconut,Whip,310,15,11,0.2,35,140,41,0,39,4,10 ,2 ,10 ,0 ,75
Ice,Tea,Iced Black Tea,,,60,0,0,0,0,5,15,0,15,0,0 ,0 ,0 ,0 ,20-25
Ice,Tea,Iced Black Tea Lemonade,,,90,0,0,0,0,5,24,0,24,0.1,0 ,10 ,0 ,0 ,20-25
Hot,Tea,Chai Tea Latte,Nonfat,,160,0.2,0.1,0,5,80,34,0,32,6,10 ,0 ,20 ,2 ,70
